,City,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temperature (F),Wind Speed (mph)
386,hobyo,94,SO,1588375277,74,5.35,48.53,84.83,16.37
387,eureka,1,US,1588375278,65,40.8,-124.16,66.99,7.0
388,mahibadhoo,98,MV,1588375278,75,3.78,72.97,84.74,9.4
389,machilipatnam,0,IN,1588375278,83,16.17,81.13,83.14,8.16
390,deniliquin,42,AU,1588375278,80,-35.53,144.97,48.99,8.99
391,nantucket,1,US,1588375278,87,41.28,-70.1,55.0,6.93
392,hamilton,20,US,1588375087,37,39.18,-84.53,68.0,6.93
393,kirakira,76,SB,1588375278,71,-10.45,161.92,85.84,8.34
394,kuminskiy,39,RU,1588375279,93,58.67,66.57,36.73,3.62
395,grindavik,75,IS,1588375279,74,63.84,-22.43,37.4,10.29
396,mandalgovi,80,MN,1588375279,45,45.76,106.27,53.92,25.77
397,gornyak,64,RU,1588375279,44,50.99,81.47,54.97,9.95
398,saint-pierre,57,RE,1588375279,73,-21.34,55.48,69.8,6.93
399,russell,1,US,1588375279,33,32.35,-85.2,77.0,4.7
400,omboue,99,GA,1588375280,90,-1.57,9.26,78.73,8.1
401,paka,40,MY,1588375280,100,4.64,103.44,77.0,1.12
402,dickinson,1,US,1588375280,63,29.46,-95.05,79.0,3.0
403,lusaka,0,ZM,1588375280,39,-15.41,28.29,64.53,5.59
404,bukachacha,100,RU,1588375280,53,52.98,116.92,34.56,6.33
405,adelaide,40,AU,1588375132,72,-34.93,138.6,62.01,21.92
406,leshukonskoye,99,RU,1588375281,96,64.9,45.76,26.2,5.5
407,wapi pathum,50,TH,1588375281,88,15.85,103.38,78.8,1.12
408,grootfontein,0,NA,1588375281,20,-19.57,18.12,57.87,5.03
409,los llanos de aridane,90,ES,1588375281,72,28.66,-17.92,68.0,10.29
410,oleksandrivka,95,UA,1588375281,82,48.96,32.23,54.66,5.64
411,san martin,0,AR,1588375062,63,-33.08,-68.47,62.6,5.82
412,mackay,8,AU,1588375281,34,-21.15,149.2,69.01,14.99
413,ketchikan,90,US,1588375199,54,55.34,-131.65,53.6,10.29
414,udachnyy,75,RU,1588375282,72,66.42,112.4,17.6,8.95
415,issoire,75,FR,1588375282,71,45.55,3.25,55.4,2.24
416,pozo colorado,3,PY,1588375282,52,-23.49,-58.8,79.02,9.82
417,moengo,80,SR,1588375282,91,5.62,-54.4,75.92,4.41
418,kachiry,7,KZ,1588375206,67,53.07,76.1,47.79,6.24
419,pemangkat,100,ID,1588375282,85,1.17,108.97,78.46,3.8
420,axim,25,GH,1588375282,85,4.87,-2.24,80.51,6.15
421,kayerkan,11,RU,1588375282,67,69.35,87.76,19.4,4.47
422,isangel,20,VU,1588375282,74,-19.55,169.27,84.2,5.82
423,drayton valley,76,CA,1588375283,25,53.22,-114.99,58.3,8.97
424,ankang,1,CN,1588375283,55,32.68,109.02,68.14,1.52
425,krasnoyarsk,40,RU,1588375002,87,56.01,92.79,44.6,4.47
426,sulangan,85,PH,1588375283,76,11.14,123.72,81.46,11.16
427,akyab,1,MM,1588375283,74,20.15,92.9,79.39,5.39
428,tamandare,33,BR,1588375283,84,-8.76,-35.1,79.54,6.71
429,adamas,3,GR,1588375283,79,36.73,24.43,63.27,6.69
430,okhotsk,100,RU,1588375283,98,59.38,143.3,30.79,28.39
431,dingle,54,PH,1588375284,76,11.0,122.67,78.67,7.25
432,ewa beach,40,US,1588375138,48,21.32,-158.01,84.2,9.17
433,srivardhan,36,IN,1588375284,86,18.03,73.02,79.95,4.21
434,magadan,99,RU,1588375284,90,59.57,150.8,31.89,24.07
435,fuengirola,71,ES,1588375284,53,36.54,-4.62,75.2,12.75
436,luganville,40,VU,1588375284,70,-15.53,167.17,86.0,8.05
437,lisakovsk,99,KZ,1588375284,56,52.54,62.49,53.82,7.45
438,bowen,36,AU,1588375284,53,-20.02,148.23,75.0,9.17
439,vostok,76,RU,1588375285,63,46.49,135.88,53.33,7.7
440,strezhevoy,75,RU,1588375285,90,60.73,77.59,35.6,8.95
441,pangnirtung,90,CA,1588375285,92,66.15,-65.71,28.4,4.7
442,bundaberg,0,AU,1588375285,39,-24.85,152.35,66.99,13.87
443,leh,58,IN,1588375285,16,34.17,77.58,40.46,3.22
444,inhambane,11,MZ,1588375285,86,-23.86,35.38,69.39,7.0
445,kumasi,52,GH,1588375285,75,6.69,-1.62,77.16,4.59
446,barinas,45,VE,1588375091,51,8.62,-70.21,85.86,2.3
447,namanyere,68,TZ,1588375285,59,-7.52,31.05,61.3,4.25
448,mattawa,40,US,1588375285,30,46.74,-119.9,70.0,8.05
449,timra,100,SE,1588375286,93,62.49,17.33,41.0,17.22
450,sao joao da barra,0,BR,1588375286,89,-21.64,-41.05,72.37,8.08
451,ambilobe,100,MG,1588375286,84,-13.2,49.05,70.65,3.06
452,xai-xai,0,MZ,1588375286,84,-25.05,33.64,69.22,5.21
453,shancheng,88,CN,1588375286,77,34.8,116.08,73.0,1.01
454,kaeo,79,NZ,1588375286,85,-35.1,173.78,66.99,8.99
455,necochea,19,AR,1588375286,86,-38.55,-58.74,55.0,4.0
456,ishigaki,75,JP,1588375286,100,24.34,124.16,77.0,12.75
457,canutama,64,BR,1588375287,85,-6.53,-64.38,77.79,2.44
458,richards bay,50,ZA,1588375287,79,-28.78,32.04,63.59,3.89
459,kemijarvi,54,FI,1588375287,95,66.71,27.43,28.35,4.45
460,morehead,1,US,1588375287,33,37.27,-87.18,75.0,4.7
461,jiayuguan,74,CN,1588375287,28,39.82,98.3,54.84,4.12
462,meulaboh,100,ID,1588375287,87,4.14,96.13,76.32,4.07
463,doha,17,QA,1588375196,83,25.29,51.53,80.01,1.12
464,babolna,37,HU,1588375288,81,47.64,17.98,50.0,3.36
465,vilshofen,84,DE,1588375288,94,48.63,13.18,48.99,3.44
466,bonthe,89,SL,1588375288,84,7.53,-12.51,81.82,6.76
467,kon tum,42,VN,1588375288,70,14.35,108.0,70.92,1.59
468,sabang,100,ID,1588375288,81,5.89,95.32,79.54,10.22
469,malanje,20,AO,1588375288,54,-9.54,16.34,64.08,1.83
470,lagos,20,NG,1588375284,83,6.58,3.75,82.4,4.38
471,sarakhs,59,IR,1588375289,88,36.54,61.16,64.4,2.24
472,flers,0,FR,1588375289,93,48.74,-0.57,44.6,8.05
473,zhigansk,100,RU,1588375289,96,66.77,123.37,22.91,9.01
474,baykit,84,RU,1588375289,74,61.67,96.37,35.62,8.1
475,san ignacio,75,BZ,1588375289,46,17.16,-89.07,93.2,4.7
476,carlisle,65,US,1588375254,52,40.2,-77.19,62.01,11.12
477,litovko,0,RU,1588375289,49,49.24,135.17,58.33,15.5
478,ambulu,78,ID,1588375289,87,-8.35,113.61,75.34,2.98
479,yongan,0,CN,1588375289,13,39.7,113.69,72.57,3.36
480,itapora,0,BR,1588375290,47,-22.08,-54.79,74.01,4.34
481,misratah,0,LY,1588375290,63,32.38,15.09,66.34,0.94
482,lima,37,PE,1588375203,73,-12.04,-77.03,71.6,12.75
483,ilulissat,100,GL,1588375290,92,69.22,-51.1,30.2,11.41
484,lipany,94,SK,1588375290,99,49.15,20.96,46.99,1.28
485,oksfjord,75,NO,1588375290,89,70.24,22.35,32.0,3.36
486,alibag,20,IN,1588375290,79,18.64,72.88,84.2,4.59
487,whitehorse,75,CA,1588375290,29,60.72,-135.05,50.0,8.05
488,arvin,2,US,1588375290,23,35.21,-118.83,81.0,5.01
489,nardaran,9,AZ,1588375290,87,40.56,50.01,53.6,6.93
490,diamantino,1,BR,1588375263,62,-14.41,-56.45,73.96,1.43
491,pombas,20,CV,1588375291,83,17.15,-25.02,73.4,14.99
492,rundu,0,NA,1588375291,31,-17.93,19.77,61.36,3.04
493,luderitz,64,NA,1588375291,53,-26.65,15.16,66.6,5.3
494,keelung,75,TW,1588375291,78,25.13,121.74,80.01,2.24
495,port macquarie,0,AU,1588375249,58,-31.43,152.92,62.01,6.38
496,san andres,75,CO,1588375291,70,12.58,-81.7,84.2,12.75
497,nizhniy odes,100,RU,1588375291,92,63.64,54.86,32.43,5.75
498,juneau,75,US,1588375291,50,58.3,-134.42,53.6,11.41
499,salina cruz,32,MX,1588375089,44,16.17,-95.2,92.57,19.86
500,pisco,0,PE,1588375292,73,-13.7,-76.22,69.8,16.11
501,ahuimanu,20,US,1588375292,58,21.44,-157.84,84.2,17.22
502,sangar,18,RU,1588375292,91,63.92,127.47,23.83,11.3
503,pitimbu,20,BR,1588375292,94,-7.47,-34.81,78.8,4.7
504,kununurra,26,AU,1588375292,26,-15.77,128.73,71.6,12.75
505,phonhong,75,LA,1588375292,88,18.5,102.42,77.0,2.24
506,alyangula,42,AU,1588375292,54,-13.85,136.42,80.6,8.05
507,abu kamal,54,SY,1588375292,40,34.45,40.92,70.2,5.37
508,asau,100,RO,1588375293,86,46.43,26.4,52.0,5.26
509,itanhem,32,BR,1588375293,83,-17.17,-40.33,71.6,6.04
510,caravelas,15,BR,1588375293,87,-17.71,-39.25,74.28,4.18
511,ailigandi,99,PA,1588375293,83,9.23,-78.02,81.23,10.29
512,balud,75,PH,1588375293,65,10.15,123.7,82.4,5.82
513,castanos,2,MX,1588375293,12,26.78,-101.42,100.99,3.0
514,lata,75,PT,1588375293,88,40.16,-8.33,62.6,4.7
515,tahoua,12,NE,1588375293,24,14.89,5.27,95.0,2.24
516,santiago,0,CL,1588375243,26,-33.46,-70.65,71.6,3.0
517,shirakawa,7,JP,1588375294,100,37.12,140.24,68.0,4.7
518,winneba,65,GH,1588375294,83,5.35,-0.62,82.4,4.7
519,hami,85,CN,1588375294,25,42.8,93.45,65.28,19.19
520,leningradskiy,11,RU,1588375294,92,69.38,178.42,26.11,8.72
521,binche,0,BE,1588375294,93,50.41,4.16,48.0,1.01
522,estevan,40,CA,1588375294,36,49.13,-102.98,64.4,23.04
523,mareeba,100,AU,1588375294,58,-17.0,145.43,81.0,5.01
524,cabedelo,20,BR,1588375295,94,-6.98,-34.83,78.8,4.7
525,puerto lempira,20,HN,1588375295,66,15.27,-83.77,87.8,5.82
526,qui nhon,33,VN,1588375295,84,13.77,109.23,77.22,2.06
527,inyonga,26,TZ,1588375295,69,-6.72,32.07,63.5,3.44
528,sheffield,17,GB,1588375295,81,53.38,-1.47,45.0,5.99
529,bathsheba,20,BB,1588375295,74,13.22,-59.52,80.6,17.22
530,otane,0,NZ,1588375295,41,-39.88,176.63,62.51,1.99
531,bawku,70,GH,1588375295,29,11.06,-0.24,94.53,14.72
532,ponte de sor,100,PT,1588375295,64,39.25,-8.01,63.0,4.36
533,waddan,0,LY,1588375296,28,29.16,16.14,64.54,6.15
534,cockburn town,0,TC,1588375296,81,21.46,-71.14,80.31,12.33
535,claresholm,1,CA,1588375296,28,50.03,-113.59,59.0,19.46
536,shihezi,5,CN,1588375296,40,44.3,86.03,57.99,4.7
537,aalen,8,DE,1588375296,76,48.84,10.09,44.01,5.01
538,klyavlino,93,RU,1588375296,84,54.26,52.03,44.22,4.76
539,santa isabel do rio negro,99,BR,1588375296,94,-0.41,-65.02,77.04,2.15
540,shakawe,0,BW,1588375297,21,-18.37,21.85,61.39,3.69
541,gisborne,0,NZ,1588375297,43,-38.65,178.0,66.99,8.01
542,pandan,99,PH,1588375297,84,14.05,124.17,80.82,9.8
543,san carlos de bariloche,75,AR,1588375297,50,-41.15,-71.31,53.6,9.17
544,soure,100,BR,1588375297,88,-0.72,-48.52,79.21,12.62
545,yefremov,99,RU,1588375297,86,53.15,38.1,40.71,10.98
546,mlada vozice,71,CZ,1588375297,88,49.53,14.81,48.0,6.58
547,bourail,11,NC,1588375297,64,-21.57,165.48,81.59,8.28
548,samarai,33,PG,1588375297,81,-10.62,150.67,82.8,12.41
549,san juan,0,AR,1588375297,37,-31.54,-68.54,65.79,4.59
550,mana,88,GF,1588375298,85,5.66,-53.78,78.87,10.98
551,yarada,75,IN,1588375298,94,17.65,83.27,75.2,3.36
552,chokwe,0,MZ,1588375298,95,-24.53,32.98,64.72,3.85
553,syracuse,3,IT,1588375298,63,37.09,15.28,60.8,11.41
554,eten,44,PE,1588375298,69,-6.91,-79.86,73.4,17.22
555,pingxiang,53,CN,1588375298,85,27.62,113.85,72.5,2.53
556,gamba,47,GA,1588375298,90,-2.65,10.0,78.24,5.32
557,san lorenzo,75,PY,1588375298,73,-25.33,-57.53,71.6,11.41
558,ucluelet,90,CA,1588375298,62,48.93,-125.55,55.99,14.99
559,aguimes,20,ES,1588375298,77,27.91,-15.45,68.0,20.8
